text,evaluacion_1,evaluacion_2,evaluacion_3,evaluacion_4,tipo_origen,fuente
"- ¡Rápido, necesitamos sangre!
- Yo soy 0 positivo.
- Pues muy mal, necesitamos una mentalidad optimista.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Cuál es el mejor portero del mundial? 
- Evidente ¡el de Para-guay!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"El otro día unas chicas llamarón a mi puerta y me pidieron una pequeña donación para una piscina local. 
Les di un garrafa de agua.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Andresito, ¿qué planeta va después de Marte? 
- Miércole, señorita.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- ¿Por qué Bob Esponja no va al gimnasio? 
- Porque ya está cuadrado.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Van dos ciegos y le dice uno al otro: 
- Ojalá lloviera... 
- Ojalá yo también...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Noticia de última hora!! 

Muere una suegra atropellada en Canarias. 

Y esto es todo, las 8 en España y UNA menos en Canarias...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"– Mamá, mamá, en el colegio dicen que estoy loco.
– ¿Y quién dice eso de ti?
– ...Me lo dicen las sillas...",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"– Mamá, mamá, ¿me haces un bocata de jamón?
– ¿York?
– Sí, túrk.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué pasa si te expulsan de cuatro univerdades?
- ....
- Que estás perdiendo facultades",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué es un pelo en una cama?
- ...
- El bello durmiente",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué le dice el techo del comedor al techo de la cocina?
- ....
- Te hecho de menos!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué pasa si se va la luz en una escuela privada?
- ....
- No se ve ni un pijo!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- En qué se convierte un país en el que se prohíben los tacos?
- .... 
- En un país destacado!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué es Messi en 45 días?
- ........
- Mes y medio!",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Qué pasaría si el mundo en lugar de ser una esfera fuera un cubo?
- ....
- Pues que todos seríamos cubanos",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Soy una persona muy saludable.
- ¿Haces mucho deporte y comes sano?
- No. Es que la gente me saluda por la calle y yo... pues les devuelvo el saludo.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Que hamster más bonito
- Si se llama Sam
- ¿Y dónde lo compraste?
- En Hamsterdam",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- Te detesto.
- K de kilo.
- ¿Qué dices?
- No sé... has empezado tú.",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"- No tienes ni idea de lo que soporto
- Una ciudad de Portugal",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
"Un transportista llevaba una partida de pingüinos hacia el zoológico, cuando a medio camino se le estropea el camión refrigerado. Preocupado, trata de reparar el problema pero ve pasar un camión repartidor de leche y consigue que se detenga. 

Entonces le dice al lechero: 
- Mira, te voy a dar 500 euros para que me hagas el favor de llevar estos pingüinos al zoológico.

El lechero acepta el dinero y se lleva con gusto los pingüinos en su camión refrigerado.
Mientras tanto, el transportista logra arreglar el daño, y de inmediato enfila hacia el zoológico.

En cuanto llega, ve salir al lechero, con los pingüinos detrás de él, en fila. El chófer le pregunta al lechero:

- ¿A donde vas con los pingüinos?
El lechero se lo queda mirando y le responde:

- Ya los llevé al zoológico, pero como me sobró dinero, ahora los pensaba llevar al cine...""",,,,,dataset-texto,Hugging Face - mrm8488/CHISTES_spanish_jokes
